lat,lon
38.2103,-122.2847
37.6542,-122.115
38.8983,-119.9947
38.3775,-121.9575
36.9878,-120.1106
37.2381,-120.8825
38.3208,-123.0747
39.7078,-77.7297
33.8117,-78.7239
35.0678,-77.0481
38.3406,-75.5103
39.1667,-76.6833
34.7,-77.3833
35.2325,-75.6219
39.4494,-74.5672
38.1386,-78.453
35.1333,-78.9333
38.9408,-77.4636
37.9406,-75.4631
34.9914,-78.8803
37.1319,-76.493
34.6833,-77.0333
35.855,-77.8931
34.7336,-76.6606
36.9839,-77.0075
37.7081,-77.4344
39.9181,-76.8742
39.9492,-74.8417
36.4394,-77.7097
34.7917,-79.3661
36.0467,-79.4769
39.2814,-76.6089
35.9333,-79.0642
38.3083,-75.1239
34.3478,-85.1611
30.3975,-84.3289
33.2119,-87.6161
36.1336,-80.2222
36.9647,-86.4239
37.0422,-89.1856
37.7797,-89.2497
39.1033,-84.4189
39.0431,-84.6717
39.9061,-84.2186
39.1186,-88.6242
38.0442,-87.5206
39.7075,-86.2803
38.0408,-84.6058
38.1811,-85.7392
39.8447,-89.6839
